peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
1291,5759.9030825,5718.4990657,41.404016800000136,0.8935168999996677,67.15038070351251,13:23:49
1292,5760.8716696,5719.4687564,41.40291320000051,0.9696906999997736,61.87540006314798,13:23:50
1293,5761.7646991,5720.3612153,41.403483799999776,0.8924589000007472,67.22998672538283,13:23:51
1294,5762.6567105,5721.2532105,41.40350000000035,0.8919951999996556,67.26493595483828,13:23:51
1295,5763.518216,5722.1158681,41.40234790000068,0.862657599999693,69.5525084344256,13:23:52
1296,5764.2725726,5722.8691663,41.403406299999915,0.7532982000002448,79.64973233704859,13:23:53
1297,5764.9966296,5723.5937657,41.40286389999983,0.724599400000443,82.80437438943963,13:23:54
1298,5765.7211285,5724.317443,41.40368550000039,0.7236772999995083,82.90988262315368,13:23:54
1299,5766.4594919,5725.0566403,41.40285159999985,0.7391973000003418,81.16912764693845,13:23:55
1300,5767.2139782,5725.8108022,41.40317600000071,0.7541618999994171,79.55851389475706,13:23:56
1301,5768.122351,5726.7188218,41.403529199999866,0.9080196000004435,66.07786880368077,13:23:57
1302,5769.1067296,5727.7039506,41.40277900000001,0.985128799999984,60.90574146243717,13:23:58
1303,5770.0464923,5728.6439345,41.40255780000007,0.9399838999997883,63.83088050764861,13:23:59
1304,5770.9710216,5729.5669758,41.40404579999995,0.9230413000004773,65.00250855510905,13:24:00
1305,5771.8960691,5730.4922953,41.403773800000636,0.9253194999992047,64.84246792599914,13:24:01
1306,5772.8349097,5731.4307547,41.40415500000017,0.9384594000002835,63.934571916464236,13:24:02
1307,5773.7558128,5732.3533244,41.40248840000004,0.9225697000001674,65.03573659528284,13:24:03
1308,5774.587862,5733.1849975,41.40286450000076,0.8316730999995343,72.1437305114637,13:24:03
1309,5775.3748409,5733.9726314,41.402209500000026,0.7876339000004009,76.1775235930925,13:24:04
1310,5776.1917931,5734.788331,41.40346210000007,0.8156995999997889,73.55649064927276,13:24:05
1311,5777.1022147,5735.6978818,41.404332900000554,0.9095508000000336,65.9666288018193,13:24:06
1312,5778.1326265,5736.7293578,41.4032686999999,1.0314760000001115,58.16907034191151,13:24:07
1313,5779.119825,5737.715892,41.4039329999996,0.9865342000002784,60.81897616928341,13:24:08
1314,5780.0596657,5738.6572111,41.402454600000056,0.9413190999994185,63.740340549806184,13:24:09
1315,5780.9988743,5739.5950614,41.40381290000005,0.9378503000007186,63.97609511875619,13:24:10
1316,5781.9667978,5740.5636919,41.4031058999999,0.9686304999995627,61.943124855171384,13:24:11
1317,5782.9062902,5741.5032813,41.403008899999804,0.9395893999999316,63.85768081249572,13:24:12
1318,5783.8291091,5742.4247552,41.40435390000039,0.9214738999999099,65.11307591024105,13:24:13
1319,5784.7527288,5743.3503219,41.40240689999973,0.9255667000006724,64.8251498243794,13:24:14
1320,5785.7374471,5744.3334451,41.40400200000022,0.9831231999996817,61.02999095130644,13:24:14
1321,5786.7224392,5745.3183928,41.40404639999997,0.9849476999997933,60.916940056830015,13:24:15
1322,5787.6909525,5746.2866881,41.4042644000001,0.9682953000001362,61.96456804034013,13:24:16
1323,5788.6289254,5747.2252794,41.40364600000066,0.9385912999996435,63.925587207150535,13:24:17
1324,5789.5529751,5748.1489563,41.40401880000081,0.9236768999999185,64.9577790675563,13:24:18
1325,5790.4472542,5749.0434764,41.40377780000017,0.8945201000005909,67.07507187368999,13:24:19
1326,5791.3546648,5749.9510845,41.4035802999997,0.9076081000002887,66.1078278168528,13:24:20
1327,5792.1571196,5750.7548298,41.40228980000029,0.8037452999997186,74.65051428608169,13:24:21
1328,5792.9574181,5751.5537688,41.403649299999415,0.7989390000002459,75.09960084559839,13:24:22
1329,5793.8337572,5752.4305228,41.40323439999975,0.8767539999998917,68.43424723469458,13:24:23
1330,5794.7334931,5753.3300356,41.403457499999604,0.8995127999996839,66.70277510227879,13:24:23
1331,5795.6246853,5754.2216136,41.40307170000051,0.891577999999754,67.29641153103437,13:24:24
1332,5796.5341438,5755.1307709,41.40337289999934,0.9091573000005155,65.99518037194001,13:24:25
1333,5797.4567923,5756.0526739,41.4041184000007,0.9219029999994746,65.08276901152746,13:24:26
1334,5798.3669774,5756.9635657,41.403411700000106,0.9108918000001722,65.86951381051917,13:24:27
1335,5799.2455027,5757.8410279,41.40447479999966,0.8774622000000818,68.3790139335853,13:24:28
1336,5800.1217192,5758.7176484,41.40407080000023,0.8766205000001719,68.444669044345,13:24:29
1337,5800.9986223,5759.5950726,41.40354969999953,0.8774241999999504,68.38197533189009,13:24:30
1338,5801.8443553,5760.4412651,41.4030901999995,0.8461925000001429,70.90585180084894,13:24:31
1339,5802.6616298,5761.2578701,41.40375969999968,0.8166049999999814,73.47493586250557,13:24:31
1340,5803.492227,5762.0886586,41.40356840000004,0.8307884999994712,72.22054710680057,13:24:32
1341,5804.3373501,5762.93451,41.402840099999594,0.8458514000003561,70.9344454593026,13:24:33
1342,5805.2619381,5763.8581,41.40383810000003,0.9235900000003312,64.96389090394925,13:24:34
1343,5806.1395624,5764.7358715,41.403690899999674,0.8777714999996533,68.35491924723428,13:24:35
1344,5807.0323605,5765.6283615,41.40399900000011,0.8924900000001799,67.22764400720222,13:24:36
1345,5807.9568357,5766.5529268,41.403908899999806,0.9245652999998129,64.89536217724388,13:24:37
1346,5808.835147,5767.4308309,41.40431609999996,0.877904099999796,68.34459481395969,13:24:38
1347,5809.6822503,5768.2796186,41.40263170000071,0.8487876999997752,70.68905451859857,13:24:38
