peak_number,pc1_lsl_time,pc2_lsl_time,calculated_offset,rr_interval,heart_rate,time_recorded
79,7011.3988691,7058.6291064,-47.23023729999932,0.8337212999995245,71.96649527849921,17:36:14
80,7012.1967493,7059.4276903,-47.2309409999998,0.798583900000267,75.1329947923818,17:36:15
81,7013.0405352,7060.2702873,-47.22975210000004,0.8425969999998415,71.20841873399891,17:36:15
82,7013.8873891,7061.1170582,-47.22966910000014,0.8467709000005925,70.85741845870945,17:36:16
83,7014.7259991,7061.9559567,-47.22995759999958,0.8388984999992317,71.52235937965672,17:36:17
84,7015.5332902,7062.7636781,-47.230387900000096,0.807721400000446,74.28303868136571,17:36:18
85,7016.3781936,7063.6083952,-47.23020160000033,0.8447170999997979,71.02969739811631,17:36:19
86,7017.2569849,7064.4863639,-47.229378999999426,0.8779686999996557,68.33956609161982,17:36:20
87,7018.1043236,7065.3338922,-47.229568600000675,0.8475283000007039,70.79409619708294,17:36:20
88,7018.9384358,7066.1692423,-47.230806500000654,0.8353501000001415,71.82617204449947,17:36:21
89,7019.8120069,7067.0421287,-47.230121800000234,0.8728863999995156,68.73746686857912,17:36:22
90,7020.6935522,7067.9247495,-47.23119729999962,0.8826208000000406,67.97936327808867,17:36:23
91,7021.58101,7068.8104407,-47.229430700000194,0.8856912000001103,67.74370119065486,17:36:24
92,7022.4133629,7069.6433857,-47.23002280000037,0.8329450000001088,72.033567642512,17:36:25
93,7023.2751571,7070.5047286,-47.22957150000002,0.8613428999997268,69.65866903879864,17:36:26
94,7024.1505095,7071.3802961,-47.2297865999999,0.8755675000002157,68.5269839275501,17:36:27
95,7025.0426095,7072.2721726,-47.22956309999972,0.891876499999853,67.27388825696147,17:36:27
96,7025.8917333,7073.1226871,-47.23095379999995,0.8505144999999175,70.54553449706715,17:36:28
97,7026.7585823,7073.9884081,-47.22982580000007,0.8657210000001214,69.30639316822808,17:36:29
98,7027.6156551,7074.8459171,-47.23026200000004,0.8575090000003911,69.97011110084283,17:36:30
99,7028.4918633,7075.7214759,-47.22961260000011,0.8755587999994532,68.52766484676697,17:36:31
100,7029.3536093,7076.5830568,-47.22944749999988,0.8615809000002628,69.63942677928642,17:36:32
101,7030.1997051,7077.4293559,-47.229650799999945,0.8462990999996691,70.89692048594104,17:36:33
102,7031.0785857,7078.3084437,-47.229857999999695,0.8790877999999793,68.25256817351055,17:36:33
103,7031.9552296,7079.1851708,-47.22994120000021,0.8767271000006076,68.43634695443818,17:36:34
104,7032.7756732,7080.0054461,-47.22977290000017,0.8202752999995937,73.14617421739959,17:36:35
105,7033.6160259,7080.845929,-47.22990310000023,0.8404829000000973,71.38753209612362,17:36:36
106,7034.5066386,7081.7384044,-47.231765800000176,0.8924753999999666,67.22874378386479,17:36:37
107,7035.3832256,7082.6132936,-47.230068000000756,0.8748892000003252,68.58011277311195,17:36:38
108,7036.215746,7083.4448857,-47.229139699999905,0.8315920999993978,72.150757564969,17:36:39
109,7037.1239694,7084.354649,-47.23067960000026,0.9097633000001224,65.95122049877361,17:36:40
110,7038.0000767,7085.2301406,-47.23006389999955,0.8754915999998047,68.53292481619856,17:36:40
111,7038.8468766,7086.0769302,-47.23005360000025,0.8467896000001929,70.85585368548024,17:36:41
112,7039.6767079,7086.9063814,-47.22967349999999,0.8294512000002214,72.33698619036778,17:36:42
113,7040.5136801,7087.7445772,-47.23089710000022,0.838195799999994,71.58232002594194,17:36:43
114,7041.3842262,7088.6141076,-47.22988140000052,0.8695304000002579,69.00276287060487,17:36:44
115,7042.2328823,7089.4639751,-47.231092800000624,0.849867500000073,70.59924046983188,17:36:45
116,7043.0938645,7090.3240617,-47.230197200000475,0.860086599999704,69.76041714871577,17:36:45
117,7043.9408229,7091.1713156,-47.23049269999956,0.8472538999994867,70.81702427104359,17:36:46
118,7044.8142024,7092.0443404,-47.2301379999999,0.8730248000001666,68.72656996684235,17:36:47
119,7045.6487895,7092.8790055,-47.23021599999993,0.8346651000001657,71.88511895368345,17:36:48
120,7046.4957166,7093.7254695,-47.22975289999977,0.8464640000001964,70.88310902765632,17:36:49
121,7047.3743465,7094.6044076,-47.23006110000006,0.8789380999996865,68.26419289369912,17:36:50
122,7048.2499229,7095.479378,-47.22945510000045,0.8749704000001657,68.57374832335887,17:36:51
123,7049.0948882,7096.3239641,-47.22907589999977,0.844586100000015,71.04071449908888,17:36:51
124,7049.9559573,7097.1858964,-47.22993910000059,0.8619323000002623,69.61103557667086,17:36:52
125,7050.8478245,7098.0781675,-47.230343000000175,0.8922710999995616,67.24413689968159,17:36:53
126,7051.7251956,7098.9541584,-47.22896279999986,0.8759909000000334,68.49386220792671,17:36:54
127,7052.5558866,7099.7855913,-47.229704700000184,0.8314329000004363,72.16457275141326,17:36:55
128,7053.4217132,7100.6525467,-47.23083349999979,0.8669553999998243,69.20771241520863,17:36:56
129,7054.2799998,7101.5091418,-47.22914200000014,0.8565951000000496,70.04476210521929,17:36:57
130,7055.1391419,7102.3690966,-47.229954700000235,0.859954800000196,69.7711089001263,17:36:58
131,7055.9450651,7103.1756066,-47.23054150000007,0.8065099999994345,74.39461383001087,17:36:58
132,7056.7734245,7104.0031988,-47.22977429999992,0.8275922000002538,72.49947498294644,17:36:59
